Thu Mar 12 13:39:18 2026,-5.5454942721189227e-11,-1.3233645721207163e-15,-1.6129330396652222,1,0,0,0
Thu Mar 12 13:39:38 2026,6.606391707464354e-06,1.7928218767337967e-06,-1.6298705339431763,0.7069424986839294,-3.5045111257403505e-10,-3.246611157692314e-08,0.7072710990905762
Thu Mar 12 13:39:39 2026,8.183441423170734e-06,3.3394014735677047e-06,-1.6283317804336548,0.7071815729141235,1.185650466695165e-09,-1.8061768747301699e-09,0.7070320248603821
Thu Mar 12 13:39:40 2026,9.377964488521684e-06,4.533332685241476e-06,-1.627967119216919,0.7072235345840454,-2.389077269349116e-10,6.106340322276083e-08,0.7069900631904602
Thu Mar 12 13:39:41 2026,9.688435966381803e-06,4.847373020311352e-06,-1.6278846263885498,0.7072286009788513,-3.330966613646069e-10,1.5004198772317068e-08,0.7069849371910095
Thu Mar 12 13:39:42 2026,9.753011909197085e-06,4.911370524496306e-06,-1.6278634071350098,0.7072286009788513,2.0379509191315037e-10,3.7645184747248095e-09,0.7069849371910095
Thu Mar 12 13:39:43 2026,9.763667549123056e-06,4.755398549605161e-06,-1.6278600692749023,0.7072286009788513,-1.7716883959906227e-08,-3.0494256009205856e-08,0.7069849371910095
Thu Mar 12 13:39:44 2026,1.0077916158479638e-05,4.291819550417131e-06,-1.6278589963912964,0.7072286009788513,-1.5221212734672918e-08,-2.291435841073053e-08,0.7069849371910095
Thu Mar 12 13:39:45 2026,1.0927893526968546e-05,3.971004844061099e-06,-1.6278589963912964,0.7072286009788513,-1.1030084401397744e-08,-2.0065973771465906e-08,0.7069849371910095
Thu Mar 12 13:39:46 2026,1.2282353054615669e-05,3.7612501273542875e-06,-1.6278589963912964,0.7072286009788513,-1.3309064073041554e-08,-1.3407595034209407e-08,0.7069849371910095
Thu Mar 12 13:39:47 2026,1.382221671519801e-05,3.3089390854001977e-06,-1.6278589963912964,0.7072286009788513,5.43288116716667e-08,5.592663754327987e-08,0.7069849371910095
